fsi_id,epu_low_regime_idx,epu_markov_converged,epu_markov_finite_bse,epu_fsi_beta_low,epu_fsi_beta_high,epu_fsi_beta_low_se,epu_fsi_beta_high_se,epu_fsi_beta_low_p,epu_fsi_beta_high_p,epu_fsi_beta_high_positive,epu_fsi_beta_high_sig_5pct,epu_fsi_beta_amplification,epu_fsi_msr_conditions_pass,cfsi_low_regime_idx,cfsi_markov_converged,cfsi_markov_finite_bse,cfsi_fsi_beta_low,cfsi_fsi_beta_high,cfsi_fsi_beta_low_se,cfsi_fsi_beta_high_se,cfsi_fsi_beta_low_p,cfsi_fsi_beta_high_p,cfsi_fsi_beta_high_positive,cfsi_fsi_beta_high_sig_5pct,cfsi_fsi_beta_amplification,cfsi_fsi_msr_conditions_pass,vixc_low_regime_idx,vixc_markov_converged,vixc_markov_finite_bse,vixc_fsi_beta_low,vixc_fsi_beta_high,vixc_fsi_beta_low_se,vixc_fsi_beta_high_se,vixc_fsi_beta_low_p,vixc_fsi_beta_high_p,vixc_fsi_beta_high_positive,vixc_fsi_beta_high_sig_5pct,vixc_fsi_beta_amplification,vixc_fsi_msr_conditions_pass
fsi_0c1439f85be1,0,True,True,0.2033168551,0.3411936971,0.08606372907,0.1689713,0.01815709534,0.04346222585,True,True,True,True,1,True,True,0.3295230256,0.105786514,0.1228369611,0.06800334571,0.007305125197,0.1198014562,True,False,False,False,0,True,True,-0.01487291958,0.1418114281,0.007875572094,0.04044684909,0.05896053241,0.0004546934868,True,True,True,True
fsi_744971b07954,0,True,True,-0.2993192909,0.5929091755,0.1442838777,0.1593032344,0.0380313642,0.0001977368681,True,True,True,True,0,True,True,0.01073543811,0.2336186599,0.04693662593,0.1411698965,0.8190850085,0.09794967332,True,False,True,False,0,True,True,-0.009813497498,0.1092183289,0.008664383314,0.04228771122,0.2573717487,0.009801804811,True,True,True,True
fsi_fe8b52625c09,0,True,True,0.1297860914,0.4733131371,0.09738899785,0.2635719266,0.1826445195,0.07253196189,True,False,True,False,0,True,True,0.0875398425,0.3603808139,0.05572088787,0.1551093781,0.116172946,0.02015778315,True,True,True,True,0,True,True,-0.005427153468,0.1478151854,0.006478946337,0.04559960985,0.4022217471,0.001188653878,True,True,True,True
fsi_5af365e1230b,0,True,True,0.2015962956,0.3463768505,0.08616717524,0.1696290386,0.01930465929,0.04115483331,True,True,True,True,1,True,True,0.3273274037,0.1024927237,0.1228105574,0.06791681041,0.007691887827,0.1312752418,True,False,False,False,0,True,True,-0.01543632035,0.1415827074,0.007870888904,0.04059916078,0.04985668906,0.0004878673536,True,True,True,True
fsi_ac85e980d3a2,0,True,True,0.1246014062,0.4601394045,0.09754744713,0.2631359391,0.2014816947,0.08034710465,True,False,True,False,0,True,True,0.09197957769,0.3696337984,0.05828814619,0.1603348569,0.1145621296,0.02114494254,True,True,True,True,0,True,True,-0.004718686257,0.1478386697,0.006450308902,0.04585834312,0.464446799,0.001264964841,True,True,True,True
fsi_afebfc28a075,0,True,True,0.2072561796,0.339320798,0.08631350375,0.1677181319,0.01634130173,0.04305654213,True,True,True,True,1,True,True,0.3318082973,0.1065746765,0.1222733177,0.06833629319,0.00665442833,0.1188634555,True,False,False,False,0,True,True,-0.01449843241,0.1399114674,0.007872952031,0.0404488966,0.06554104518,0.0005422479111,True,True,True,True
fsi_2b63c82fb266,0,True,True,-0.2797887351,0.5868965885,0.1478732656,0.1611554053,0.05847970384,0.0002707329389,True,True,True,True,0,True,True,0.01369384979,0.2261523395,0.0488292175,0.1388495321,0.7791370609,0.1033641778,True,False,True,False,0,True,True,-0.01002787099,0.1079030323,0.008673997624,0.04224593248,0.2476467471,0.01064431626,True,True,True,True
fsi_420e3328becd,0,True,True,0.2006717071,0.3484727279,0.08661957723,0.1700055172,0.02051999616,0.04038658236,True,True,True,True,1,True,True,0.3271801755,0.1018089108,0.1225681206,0.06789257872,0.007599274025,0.1337287383,True,False,False,False,0,True,True,-0.01539372724,0.1402001121,0.007859261916,0.04064293072,0.05015104785,0.0005615068728,True,True,True,True
fsi_e73882601889,0,True,True,0.1296989993,0.4801828794,0.0980029082,0.2643479229,0.1856957764,0.0692966779,True,False,True,False,0,True,True,0.09006989362,0.3673907774,0.05676251099,0.1561708885,0.1125613767,0.0186480872,True,True,True,True,0,True,True,-0.004995785425,0.1486707841,0.006452274673,0.04590894717,0.4387727246,0.00120209039,True,True,True,True
fsi_c7378a61f29c,0,True,True,0.1942702485,0.3570981779,0.08090630522,0.1694105658,0.01634249069,0.03504084232,True,True,True,True,1,True,True,0.3494221376,0.01477096756,0.134998758,0.07649947572,0.009644087424,0.8468917212,True,False,False,False,0,True,True,-0.013602198,0.143499293,0.007992898704,0.03970250186,0.08879561183,0.0003010858227,True,True,True,True
fsi_feba9af462e9,0,True,True,0.127698956,0.4680476422,0.09684831155,0.2635812684,0.1873209292,0.07577838332,True,False,True,False,0,True,True,0.08719692334,0.3582794655,0.05545532506,0.1545684035,0.1158621182,0.02045287043,True,True,True,True,0,True,True,-0.00544428761,0.1484430001,0.006470675528,0.045685708,0.4001358967,0.00115721194,True,True,True,True
fsi_948288456fa8,0,True,True,0.2025628717,0.344737891,0.08702945011,0.1707430835,0.01993755323,0.04348258999,True,True,True,True,1,True,True,0.3262631809,0.102380344,0.1231721296,0.06847585518,0.008076872058,0.1348803705,True,False,False,False,0,True,True,-0.0149957784,0.1405480748,0.007846596619,0.04074572799,0.05598931436,0.0005618460027,True,True,True,True
